vx wheel encoder,vy wheel encoder,vx optical flow,vy optical flow,vx ground truth,vy ground truth,Time Stamp
0.0011327295796945691,0.056775081902742386,0.06759423017501831,-0.010851136408746243,0.004267601088564974,0.0022285656855112333,403.987
-0.002200135262683034,-0.10991249233484268,0.05738114193081856,-0.010206279344856739,0.004404126508308056,0.0023478641449204704,404.032
0.004893450532108545,0.2341446578502655,0.08525510132312775,-0.008572796359658241,-0.0018299930613808594,0.008024952560435457,404.083
0.0029419714119285345,0.1482173055410385,0.010355480946600437,-0.009232028387486935,0.008455209105947289,0.001053597877590714,404.136
-0.0021552680991590023,-0.11093564331531525,0.01865440420806408,-0.008315928280353546,-0.001894892795903437,0.00808852075924004,404.183
-0.0030160241294652224,-0.15757054090499878,0.01659797504544258,-0.009592029266059399,0.008488189884024663,0.0012983701146065474,404.233
-0.0023158674594014883,-0.12136305123567581,0.06849869340658188,-0.007827458903193474,-0.0014488991165417181,0.008467385831938215,404.282
-0.0023204104509204626,-0.12296397238969803,-0.07771661877632141,0.02416866458952427,0.004237029146250875,0.0022295839559570707,404.332
-0.0026463803369551897,-0.14289426803588867,-0.012194476090371609,0.02838696725666523,0.0042331314693034305,0.0021268404469573657,404.381
0.0018535328563302755,0.09890653192996979,-0.028882602229714394,0.028873736038804054,0.008634439597034659,0.0011799919142982947,404.436
-0.0020144633017480373,-0.11040827631950378,-0.06559555232524872,0.02769249491393566,0.004291476958272858,0.002271155618463147,404.484
-0.0029001126531511545,-0.16090193390846252,-0.09250374883413315,0.027892090380191803,0.004549048262364738,0.002370073840781929,404.531
0.005102692637592554,0.27289798855781555,-0.031202491372823715,0.02932172827422619,0.008638134940204562,0.0012034853747806863,404.582
-0.002042225329205394,-0.11488781869411469,-0.04417238384485245,0.026896284893155098,0.008225360615290342,0.0011336185412237263,404.632
0.0022892991546541452,0.12888383865356445,-0.053783830255270004,0.024186328053474426,0.004107817013995193,0.0021316401466372663,404.684
-0.0019391573732718825,-0.11174368113279343,-0.053851865231990814,0.023615077137947083,0.0045834542167971625,0.002405524760796077,404.734
